Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
MF-1000X,"MF-1000X Pipe Fitting Coupling 3/4"" Brass Threaded",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Delta Faucet Co (DELTA)
EK-1001A,"EK-1001A Pipe Fitting Coupling 1-1/4"" PVC Threaded",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Delta Faucet Co (DELTA)
AS-1002B,AS-1002B Kitchen Faucet Single Handle Widespread Oil Rubbed Bronze Pull-Out Sprayer,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Delta Faucet Co (DELTA)
CF-1003G,"CF-1003G Pipe Fitting Coupling 3/4"" PVC Compression",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,T&S Brass and Bronze Works (TSBRS)
KH-1004G,KH-1004G Bar Prep Faucet Single Handle Wall Mount Matte Black Low-Arc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Moen Inc (MOEN)
DF-1005G,DF-1005G Bar Prep Faucet Double Handle Wall Mount Chrome High-Arc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Delta Faucet Co (DELTA)
ZR-1006A,ZR-1006A Kitchen Faucet Touchless Deck Mount Stainless Steel High-Arc Spout,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Elkay Manufacturing Co (ELKAY)
PF-1007B,"PF-1007B Pipe Fitting Coupling 1-1/2"" Brass Threaded",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Chicago Faucets Co (CHIFC)
GR-1008A,"GR-1008A Pipe Fitting Coupling 3/4"" Brass Slip Joint",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,American Standard (AMSTD)
EK-1009X,EK-1009X Bar Prep Faucet Double Handle Wall Mount Brushed Nickel Low-Arc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Watts Water Technologies (WATTS)
EK-1010A,"EK-1010A Pipe Fitting Coupling 1-1/4"" Copper Threaded",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Grohe America Inc (GROHE)
AS-1011B,"AS-1011B Pipe Fitting Elbow 1"" PVC 45 Degree",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Elkay Manufacturing Co (ELKAY)
CF-1012B,"CF-1012B Pipe Fitting Coupling 1-1/2"" PVC Threaded",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Elkay Manufacturing Co (ELKAY)
PF-1013G,PF-1013G Bathroom Sink Faucet Single Handle Deck Mount Matte Black Vessel Mount,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Moen Inc (MOEN)
AS-1014G,"AS-1014G Pipe Fitting Coupling 1"" Copper Slip Joint",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Pfister Inc (PFSTR)
KH-1015B,KH-1015B Bathroom Sink Faucet Touchless Widespread Polished Brass Widespread,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Grohe America Inc (GROHE)
WT-1016G,"WT-1016G Pipe Fitting Coupling 3/8"" Brass Threaded",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Chicago Faucets Co (CHIFC)
DF-1017A,"DF-1017A Pipe Fitting Elbow 1/2"" Brass Threaded",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Watts Water Technologies (WATTS)
WT-1018A,WT-1018A Bathroom Sink Faucet Touchless Wall Mount Stainless Steel Widespread,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,T&S Brass and Bronze Works (TSBRS)
CF-1019A,"CF-1019A Pipe Fitting Elbow 1-1/2"" Copper 90 Degree",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Grohe America Inc (GROHE)
GR-1020X,"GR-1020X Pipe Fitting Coupling 1/2"" PVC Slip Joint",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Zurn Industries LLC (ZURN)
